,0
0,That Glass Game In Squid Games Had My Anxiety Thru The Roof😂
1,@99vsual Yess the plot and the cast are very good and the games are more well thought than squid game
2,I hate the fact that I’ve only started watching Squid Games and there’s so many spoilers and memes everywhere
3,@little7bitch Squid games?
4,Soon as Baljeet died in squid games I stopped watchin it
5,Only thing ion like about squid games is the voice over .. I think we gone watch it in Korean and turn the subtitles on 😂
6,"@biskottiike4 TALK ABOUT ""NOT LIKING"" SQUID GAMES 😂...
squid game got famous because well Korean drama popularity,… https://t.co/rCRnqYpoal"
7,@YOUNGBULK234 @GeorgeGathua @dujonna_ Squid games Netflix
8,I don’t see the hype behind the chick on squid games
9,@snooki Squid Games!!! Trust me!!
10,"The fourth episode of squid games is so 😭😭
First they k word each other then that stupid couple fuck each other so… https://t.co/gEd7cEyy1T"
11,Please tell me squid games is like those other nonsense series on Netflix that aren't in English like bo lupin?
12,squid games done and I'm kinda disappointed ngl
13,"@moviemenfes Definitely AIB, tp Squid Games worth to watch jga"
14,ALSO IF YOU LOVED SQUID GAME WATCH ALICE IN BORDERLAND I PROMISE YOU THAT YOULL LOVE IT SO MUCH! ITS ABOUT GAMES AND ITS SO COOL
15,Squid Games in Attack on Titan https://t.co/FyU8NtzHsg
16,squid game would be so much better if the target demographic had actually played these games when we were younger
17,"Saw is gory, but the back story behind it is so hard to follow, it’s often missed. Squid Games &amp; Saw are essentiall… https://t.co/QJigCnS8uR"
18,It’d be real nice if y’all stop posting squid games spoilers :) thanks -management
19,The numerology behind squid games resonates with me
20,"MANNN, finished 2 EPs off Squid Game and it’s crazy!!! It feels like a mix of hunger games and death race🕺🏼 can’t w… https://t.co/jpRQIZaEqQ"
21,alice in borderland&gt;&gt;&gt;&gt;&gt;&gt;squid games
22,I really need to take the time to get into squid games.
23,Not me waking up to finish squid games 😂
24,I’m tryna get treated like that cookie off of squid games 😩
25,i still feel like Squid Games is a real thing somewhere for the rich
26,@_lifeaskiana I haven’t even started clickbait yet lol. I’m still trying to finish  squid games 😂
27,Idc what anyone says I dont think anyone on here can survive thru the squid games. Y’all 🧢n’ haaarrddd
28,Broooooooooo squid games ending I felt that wtf
29,"// Squid Game Spoilers

.

.

.

Yall act like yall wouldnt act like SangWoo in panic during the games if youre nex… https://t.co/oICkHNblyC"
30,"Squid game is just Saw meets Human Centipede 3 mixed with a little hunger games
I said it ... Fight me!
#SquidGame… https://t.co/8JP52499HT"
31,i’m finna restart squid games while i take down my hair
32,"Squid games fucked up my sleep smh, I was up until 1:50 knowing damn well I have to be up at 5:45"
33,@fatimaaaxoo It’s cuz of squid games 😂
34,I’m not understanding the hype behind the one chick from that squid games
35,watch alice in borderland if you liked squid games
36,"After 3 more failed attempts, I finally completed episode 3 of Squid Games"
37,"CW // squid games spoiler 

he is handsome! the best! sneaky and smart at the same time! all he wanted was answers… https://t.co/jBxNOIKFwN"
38,"Let the games begin! 

Our Squid Game inspired necklace is back in the game, featuring its new and updated designs!… https://t.co/tm4qG5i3gb"
39,So squid games.. what a show. Hopefully there’s a season 2 otherwise what was the point in that ending
40,Now I’m about to fail my exam bc instead of studying we watched the whole series of squid games 🥴
41,Thought about watching Squid games.... found out from the timeline that I shouldn't. Thank God for social media!!!
42,Crazy how black folks make shit popular wasn’t nobody talking bout squid games till we start fw it. So much power
43,@BTS_SUPERMACY13 @snowflowerhyuna Reminds me of @h4niya who inserted herself in a army conversation &amp; accused the o… https://t.co/AdWnxa1T3W
44,@oneplus Squid games promotion ? Or Collab
45,15 mins in and squid games is worth all the hype it's getting.
46,i’ve decided to watch squid games tonight
47,Ok but isnt squid games just among us 2.0
48,@kthvante_7 AR THEY FROM SQUID GAMES ?
49,Does anyone else just have no desire to watch squid games? Like my whole tl is talking about it and I’m over here rewatching b99
50,ok the first episode of squid games is already pmo
51,Oi Squid Games is mad
52,i haven't watched Squid Games.
53,Just started squid games and it’s pretty good so far.
54,Old man in squid games my favorite one out of all of them 😂😂😂
55,@KarateHoe I agree it’s so nice to have had a break I binged squid games lol soooo intense
56,Unpopular Opinion Squid 🐙🐙🐙 Games is better than that Soap Opera Money Heist
57,Nah squid games serious
58,"// Squid Games spoilers

Finished Squid Game. I like Sangwoo more than the protagonist. Protagonist was too naive a… https://t.co/c4oE1Q1UJX"
59,is anyone going to acknowledge the fact that player 001 in Squid Games was the cutest ole’ little man ever? 🥺❤️😂
60,"Yo, why didn’t anyone tell me about squid games?! Shit had me like.. https://t.co/J9uUyeH8OX"
61,Can’t tell if squid games shit or not https://t.co/aSTbYoVUuS
62,what the FUCK is squid games
63,i am finishing squid games before watching sapnap’s new video what have i become 😵‍💫
64,Episode 6 of squid games got me fucked up https://t.co/0Wuxif5hQS
65,@matchasicecream @Dream__Fanart IS THIS FROM SQUID GAMES?
66,"Lee Jung-jae also described the ""parody videos"" of ‘Squid Game’ as ""so fun"" https://t.co/sUvICDXoR5"
67,up watching squid games 😂
68,"My classmates 🤡
Yongguk posted something and i was looking at my cellphone and one of them - ah is something from t… https://t.co/Vtw8gFgiiq"
69,@playboyybarbiee girl watching the pornhub version of squid games
70,Squid games fye fr?
71,Sang woo really the best character from Squid Games
72,@JTheretohelp1 Why what's happening here.... have I missed something? I'm in Perth so we are locked away from the w… https://t.co/YCb7vQZ3f2
73,Lmfaoo not everybody on the tl staying up to watch squid games
74,think i just saw an implied Squid Games spoiler ........:...
75,thee squid games on netflix is a good ass show
76,hey besties ill try to guess if u would survive squid games or not (and if i would team up with you) -stolen from @yuujistudy
77,This squid games show is good asf https://t.co/fUAjhlcOJX
78,Squid Games is kinda wild no?
79,@13chnwar Why? Why? I didn't even dare watch squid games 😭
80,@TheAn1meMan Go try Liar Game (JP Version is better). The games and strategies and better there. But the whole Sett… https://t.co/mQcugQQQwP
81,@jssdoIl Watching squid games and having munching on eachothers mango paletas
82,AYE MAN THE MARBLE GAME EPISODE ON SQUID GAMES I AINT OK BRO NAH
83,"@squid_kid_spam among us became too funny, it was put down as all games that become memes are (no but i really like… https://t.co/JHOwXvEDq5"
84,Squid games is amazing series
85,"Thoughts of the last 24 hours
- Breathe of the Wild is one of the best games I've ever played 
- Squid Game is a ma… https://t.co/iunoVltEhT"
86,"Posting it now, the squid games character, money emoji, the two of them talking about money the whole episode... ch… https://t.co/4Om2yFu7Te"
87,I really stayed my dumb ass up all night watching Squid Games.
88,niggas think they could win the squid games but a lot of you mfs would not make it past tug of war
89,I knew I was finna have a ole dumbass dream bout squid games I’m getting cards and shit
90,SQUID GAMES EPISODE SIX LET'S GOOOOOO
91,"it’s better than squid games TO ME.
story line, characters, everything! https://t.co/UyXGi8OFi6"
92,@Rezaditama_w @younotpurple @TheAn1meMan Squid Game is a constantly mind blowing and nonstop goosebumps meanwhile b… https://t.co/Unc5h55d7X
93,"@yabugginnn no you don't understand, i really thought squid game was something about squidward until my brother tol… https://t.co/PJGvBMeux7"
94,@peachiewhore squid games
95,@Joobebe101 He’s scary competitive 😭😭he’s a true self preservationist if he had to choose between himself and anoth… https://t.co/qN6tULeKcm
96,Finna mute Squid Games cause yall talk too mf much. Just watch the show and stfu
97,"I keep hearing about squid games, might have to check it out"
